営業日,店舗名,台番号,機種名,総回転数,差枚,BB回数,RB回数
2026-09-04,Bホール,211,サンプルAタイプ,7832,-219,31,18
2026-09-04,Bホール,212,サンプル天井機,4149,-557,13,8
2026-09-05,Aホール,101,サンプルAT機,5471,-922,20,15
2026-09-05,Aホール,102,サンプルAタイプ,7183,-1241,22,14
2026-09-05,Aホール,103,サンプル天井機,2658,488,8,4
2026-09-05,Aホール,104,サンプルAT機,3718,-247,13,9
2026-09-05,Aホール,105,サンプルAタイプ,5043,597,21,18
2026-09-05,Aホール,106,サンプル天井機,7719,-957,24,17
2026-09-05,Aホール,107,サンプルAT機,4814,-1211,21,15
2026-09-05,Aホール,108,サンプルAタイプ,5135,-429,19,11
2026-09-05,Aホール,109,サンプル天井機,7564,-872,27,16
2026-09-05,Aホール,110,サンプルAT機,3761,128,13,9
2026-09-05,Aホール,111,サンプルAタイプ,3114,389,10,5
2026-09-05,Aホール,112,サンプル天井機,7580,-110,29,22
2026-09-05,Bホール,201,サンプルAT機,2208,172,9,8
2026-09-05,Bホール,202,サンプルAタイプ,2529,1000,9,5
2026-09-05,Bホール,203,サンプル天井機,6657,934,24,14
2026-09-05,Bホール,204,サンプルAT機,3663,18,12,9
2026-09-05,Bホール,205,サンプルAタイプ,4238,-2,17,14
2026-09-05,Bホール,206,サンプル天井機,7451,-650,23,15
2026-09-05,Bホール,207,サンプルAT機,7267,-759,25,18
2026-09-05,Bホール,208,サンプルAタイプ,6333,-1016,23,17
2026-09-05,Bホール,209,サンプル天井機,4398,-764,18,14
2026-09-05,Bホール,210,サンプルAT機,6877,2215,28,20
2026-09-05,Bホール,211,サンプルAタイプ,3181,333,10,8
2026-09-05,Bホール,212,サンプル天井機,2364,358,7,5
2026-09-06,Aホール,101,サンプルAT機,6482,-875,22,14
2026-09-06,Aホール,102,サンプルAタイプ,5564,-1057,17,11
2026-09-06,Aホール,103,サンプル天井機,4864,-444,18,13
2026-09-06,Aホール,104,サンプルAT機,5137,-1262,19,12
2026-09-06,Aホール,105,サンプルAタイプ,7492,-1384,30,27
2026-09-06,Aホール,106,サンプル天井機,5107,-535,16,12
2026-09-06,Aホール,107,サンプルAT機,7166,-371,24,15
2026-09-06,Aホール,108,サンプルAタイプ,7900,-1198,30,16
2026-09-06,Aホール,109,サンプル天井機,4484,605,19,13
2026-09-06,Aホール,110,サンプルAT機,3462,502,11,8
2026-09-06,Aホール,111,サンプルAタイプ,2875,-19,12,9
2026-09-06,Aホール,112,サンプル天井機,4105,-913,15,9
2026-09-06,Bホール,201,サンプルAT機,6050,-565,22,15
2026-09-06,Bホール,202,サンプルAタイプ,3379,-1019,11,8
2026-09-06,Bホール,203,サンプル天井機,5924,161,25,22
2026-09-06,Bホール,204,サンプルAT機,3863,-562,15,13
2026-09-06,Bホール,205,サンプルAタイプ,4678,-1327,18,14
2026-09-06,Bホール,206,サンプル天井機,7569,-2286,25,17
2026-09-06,Bホール,207,サンプルAT機,2445,858,10,5
2026-09-06,Bホール,208,サンプルAタイプ,7511,-1047,32,21
2026-09-06,Bホール,209,サンプル天井機,6760,-913,22,12
2026-09-06,Bホール,210,サンプルAT機,3073,-536,13,11
2026-09-06,Bホール,211,サンプルAタイプ,5801,-1414,20,13
2026-09-06,Bホール,212,サンプル天井機,5659,-1467,17,10
2026-09-07,Aホール,101,サンプルAT機,6517,-347,23,15
2026-09-07,Aホール,102,サンプルAタイプ,2993,199,13,8
2026-09-07,Aホール,103,サンプル天井機,6893,1729,22,19
2026-09-07,Aホール,104,サンプルAT機,3719,379,12,9
2026-09-07,Aホール,105,サンプルAタイプ,2521,1265,9,8
2026-09-07,Aホール,106,サンプル天井機,4221,1502,17,13
2026-09-07,Aホール,107,サンプルAT機,3112,1430,11,10
2026-09-07,Aホール,108,サンプルAタイプ,4892,-764,20,14
2026-09-07,Aホール,109,サンプル天井機,5990,623,19,14
2026-09-07,Aホール,110,サンプルAT機,4779,1573,18,15
2026-09-07,Aホール,111,サンプルAタイプ,7743,3605,23,16
2026-09-07,Aホール,112,サンプル天井機,7272,-1306,29,24
2026-09-07,Bホール,201,サンプルAT機,1685,415,7,5
2026-09-07,Bホール,202,サンプルAタイプ,5115,-632,18,13
2026-09-07,Bホール,203,サンプル天井機,6261,-598,20,15
2026-09-07,Bホール,204,サンプルAT機,1804,200,7,4
2026-09-07,Bホール,205,サンプルAタイプ,6439,-582,22,19
2026-09-07,Bホール,206,サンプル天井機,5460,-409,23,12
2026-09-07,Bホール,207,サンプルAT機,7208,-3393,22,15
2026-09-07,Bホール,208,サンプルAタイプ,4508,-1422,18,16
2026-09-07,Bホール,209,サンプル天井機,3697,-894,14,7
2026-09-07,Bホール,210,サンプルAT機,6424,-920,20,17
2026-09-07,Bホール,211,サンプルAタイプ,6666,-728,21,14
2026-09-07,Bホール,212,サンプル天井機,6450,-456,28,14
2026-09-08,Aホール,101,サンプルAT機,3117,-982,12,10
2026-09-08,Aホール,102,サンプルAタイプ,2642,1326,9,7
2026-09-08,Aホール,103,サンプル天井機,6225,-1817,27,14
2026-09-08,Aホール,104,サンプルAT機,2657,-42,11,6
2026-09-08,Aホール,105,サンプルAタイプ,3162,-319,13,11
2026-09-08,Aホール,106,サンプル天井機,6018,550,21,18
2026-09-08,Aホール,107,サンプルAT機,2484,-1538,10,7
2026-09-08,Aホール,108,サンプルAタイプ,5208,-240,21,15
2026-09-08,Aホール,109,サンプル天井機,6319,-987,20,16
2026-09-08,Aホール,110,サンプルAT機,6768,-506,27,15
2026-09-08,Aホール,111,サンプルAタイプ,7766,2294,30,16
2026-09-08,Aホール,112,サンプル天井機,7807,2313,30,25
2026-09-08,Bホール,201,サンプルAT機,2338,-2246,8,7
2026-09-08,Bホール,202,サンプルAタイプ,4355,-982,15,13
2026-09-08,Bホール,203,サンプル天井機,6484,400,27,18
2026-09-08,Bホール,204,サンプルAT機,6582,-473,25,15
2026-09-08,Bホール,205,サンプルAタイプ,6195,-799,21,14
2026-09-08,Bホール,206,サンプル天井機,6389,-723,25,21
2026-09-08,Bホール,207,サンプルAT機,4453,1061,18,11
2026-09-08,Bホール,208,サンプルAタイプ,7443,-2104,24,18
2026-09-08,Bホール,209,サンプル天井機,6501,1528,21,11
2026-09-08,Bホール,210,サンプルAT機,5405,-178,18,11
2026-09-08,Bホール,211,サンプルAタイプ,6268,-178,20,16
2026-09-08,Bホール,212,サンプル天井機,5512,-1898,23,15
2026-09-09,Aホール,101,サンプルAT機,1664,1286,5,3
2026-09-09,Aホール,102,サンプルAタイプ,4388,-1014,18,13
2026-09-09,Aホール,103,サンプル天井機,1660,78,5,3
2026-09-09,Aホール,104,サンプルAT機,5655,129,22,20
2026-09-09,Aホール,105,サンプルAタイプ,4177,1776,16,10
2026-09-09,Aホール,106,サンプル天井機,3720,-898,13,11
2026-09-09,Aホール,107,サンプルAT機,3659,-2265,13,9
2026-09-09,Aホール,108,サンプルAタイプ,3129,-634,11,8
2026-09-09,Aホール,109,サンプル天井機,7035,-274,29,22
2026-09-09,Aホール,110,サンプルAT機,5948,-1346,18,14
2026-09-09,Aホール,111,サンプルAタイプ,2427,970,10,6
2026-09-09,Aホール,112,サンプル天井機,5273,-1511,16,10
2026-09-09,Bホール,201,サンプルAT機,3593,-481,13,9
2026-09-09,Bホール,202,サンプルAタイプ,2524,861,8,5
2026-09-09,Bホール,203,サンプル天井機,5537,-868,22,11
2026-09-09,Bホール,204,サンプルAT機,2115,-379,7,6
2026-09-09,Bホール,205,サンプルAタイプ,3213,808,12,10
2026-09-09,Bホール,206,サンプル天井機,2100,557,7,6
2026-09-09,Bホール,207,サンプルAT機,4141,1897,17,13
2026-09-09,Bホール,208,サンプルAタイプ,5759,-677,20,11
2026-09-09,Bホール,209,サンプル天井機,1878,152,6,3
2026-09-09,Bホール,210,サンプルAT機,6785,-1133,24,19
2026-09-09,Bホール,211,サンプルAタイプ,6242,-574,25,21
2026-09-09,Bホール,212,サンプル天井機,4073,604,17,9
2026-09-10,Aホール,101,サンプルAT機,5220,-1451,17,10
2026-09-10,Aホール,102,サンプルAタイプ,4318,-639,16,9
2026-09-10,Aホール,103,サンプル天井機,3821,-201,13,8
2026-09-10,Aホール,104,サンプルAT機,6089,-834,22,11
2026-09-10,Aホール,105,サンプルAタイプ,3287,-501,14,11
2026-09-10,Aホール,106,サンプル天井機,3825,-583,16,13
2026-09-10,Aホール,107,サンプルAT機,3836,-356,13,10
2026-09-10,Aホール,108,サンプルAタイプ,2275,1086,7,5
2026-09-10,Aホール,109,サンプル天井機,7628,-269,32,22
2026-09-10,Aホール,110,サンプルAT機,6197,-152,26,13
2026-09-10,Aホール,111,サンプルAタイプ,7761,-1183,25,13
2026-09-10,Aホール,112,サンプル天井機,6677,-1666,21,16
2026-09-10,Bホール,201,サンプルAT機,3451,1207,14,9
2026-09-10,Bホール,202,サンプルAタイプ,6036,-1109,22,12
2026-09-10,Bホール,203,サンプル天井機,7977,-1580,31,25
2026-09-10,Bホール,204,サンプルAT機,3911,-491,14,9
2026-09-10,Bホール,205,サンプルAタイプ,3447,852,13,9
2026-09-10,Bホール,206,サンプル天井機,4599,-78,20,12
2026-09-10,Bホール,207,サンプルAT機,2408,21,8,5
2026-09-10,Bホール,208,サンプルAタイプ,6566,-2002,25,18
2026-09-10,Bホール,209,サンプル天井機,7646,633,28,20
2026-09-10,Bホール,210,サンプルAT機,4847,-1181,19,11
2026-09-10,Bホール,211,サンプルAタイプ,2675,-789,10,9
2026-09-10,Bホール,212,サンプル天井機,5672,-1908,20,16
2026-09-11,Aホール,101,サンプルAT機,6217,-1605,21,18
2026-09-11,Aホール,102,サンプルAタイプ,7281,-234,23,14
2026-09-11,Aホール,103,サンプル天井機,7167,-1443,31,18
2026-09-11,Aホール,104,サンプルAT機,5962,-1085,20,16
2026-09-11,Aホール,105,サンプルAタイプ,5472,-1115,19,14
2026-09-11,Aホール,106,サンプル天井機,7686,-388,28,23
2026-09-11,Aホール,107,サンプルAT機,6452,-2283,24,13
2026-09-11,Aホール,108,サンプルAタイプ,5650,175,24,19
2026-09-11,Aホール,109,サンプル天井機,3056,-615,11,7
2026-09-11,Aホール,110,サンプルAT機,3461,1084,12,8
2026-09-11,Aホール,111,サンプルAタイプ,3900,-494,12,11
2026-09-11,Aホール,112,サンプル天井機,5573,-670,20,13
2026-09-11,Bホール,201,サンプルAT機,6071,-478,25,16
2026-09-11,Bホール,202,サンプルAタイプ,3667,-937,13,10
2026-09-11,Bホール,203,サンプル天井機,7025,-229,26,18
2026-09-11,Bホール,204,サンプルAT機,1935,-706,6,4
2026-09-11,Bホール,205,サンプルAタイプ,7609,-28,33,17
2026-09-11,Bホール,206,サンプル天井機,7290,-278,22,18
2026-09-11,Bホール,207,サンプルAT機,2817,-787,11,9
2026-09-11,Bホール,208,サンプルAタイプ,3706,-794,14,9
2026-09-11,Bホール,209,サンプル天井機,6360,-723,24,14
2026-09-11,Bホール,210,サンプルAT機,5388,-1293,23,12
2026-09-11,Bホール,211,サンプルAタイプ,5376,466,19,13
2026-09-11,Bホール,212,サンプル天井機,4784,150,16,13
2026-09-12,Aホール,101,サンプルAT機,2463,-199,8,6
2026-09-12,Aホール,102,サンプルAタイプ,3776,-1907,14,10
2026-09-12,Aホール,103,サンプル天井機,4898,513,20,14
2026-09-12,Aホール,104,サンプルAT機,6134,-1454,23,19
2026-09-12,Aホール,105,サンプルAタイプ,2258,-1112,8,7
2026-09-12,Aホール,106,サンプル天井機,6755,1724,25,16
2026-09-12,Aホール,107,サンプルAT機,4888,1302,19,12
2026-09-12,Aホール,108,サンプルAタイプ,6235,-151,24,17
2026-09-12,Aホール,109,サンプル天井機,7357,-145,22,18
2026-09-12,Aホール,110,サンプルAT機,3213,224,13,7
2026-09-12,Aホール,111,サンプルAタイプ,6484,-1975,27,20
2026-09-12,Aホール,112,サンプル天井機,7489,-833,29,18
2026-09-12,Bホール,201,サンプルAT機,7734,-554,30,24
2026-09-12,Bホール,202,サンプルAタイプ,4409,-266,15,8
2026-09-12,Bホール,203,サンプル天井機,4756,271,14,11
2026-09-12,Bホール,204,サンプルAT機,7077,-2925,28,18
2026-09-12,Bホール,205,サンプルAタイプ,2110,-622,7,4
2026-09-12,Bホール,206,サンプル天井機,5119,277,16,12
2026-09-12,Bホール,207,サンプルAT機,2321,-301,8,5
2026-09-12,Bホール,208,サンプルAタイプ,7756,768,26,23
2026-09-12,Bホール,209,サンプル天井機,3440,-154,12,7
2026-09-12,Bホール,210,サンプルAT機,1703,565,6,3
2026-09-12,Bホール,211,サンプルAタイプ,2273,676,8,6
2026-09-12,Bホール,212,サンプル天井機,5769,-643,21,11
2026-09-13,Aホール,101,サンプルAT機,4496,-1406,18,12
2026-09-13,Aホール,102,サンプルAタイプ,6384,-65,26,17
2026-09-13,Aホール,103,サンプル天井機,3892,24,14,7
2026-09-13,Aホール,104,サンプルAT機,7518,-1874,26,22
2026-09-13,Aホール,105,サンプルAタイプ,6613,18,28,14
2026-09-13,Aホール,106,サンプル天井機,3806,869,13,11
2026-09-13,Aホール,107,サンプルAT機,5999,-1090,20,13
2026-09-13,Aホール,108,サンプルAタイプ,7108,-275,24,15
2026-09-13,Aホール,109,サンプル天井機,5459,-868,20,16
2026-09-13,Aホール,110,サンプルAT機,2029,774,6,5
2026-09-13,Aホール,111,サンプルAタイプ,5561,-1090,21,14
2026-09-13,Aホール,112,サンプル天井機,5290,-333,20,15
2026-09-13,Bホール,201,サンプルAT機,6875,-1201,24,19
2026-09-13,Bホール,202,サンプルAタイプ,7690,281,25,20
2026-09-13,Bホール,203,サンプル天井機,1516,-31,6,3
2026-09-13,Bホール,204,サンプルAT機,5331,410,21,11
2026-09-13,Bホール,205,サンプルAタイプ,2080,-23,8,7
2026-09-13,Bホール,206,サンプル天井機,6769,-1137,21,17
2026-09-13,Bホール,207,サンプルAT機,3587,-875,13,10
2026-09-13,Bホール,208,サンプルAタイプ,1926,55,7,5
2026-09-13,Bホール,209,サンプル天井機,3986,212,14,12
2026-09-13,Bホール,210,サンプルAT機,6428,-1682,23,13
2026-09-13,Bホール,211,サンプルAタイプ,5082,-1255,17,14
2026-09-13,Bホール,212,サンプル天井機,4877,644,16,13
2026-09-14,Aホール,101,サンプルAT機,2500,-117,10,9
2026-09-14,Aホール,102,サンプルAタイプ,5490,-617,20,11
2026-09-14,Aホール,103,サンプル天井機,2596,245,9,7
2026-09-14,Aホール,104,サンプルAT機,7231,-357,24,22
2026-09-14,Aホール,105,サンプルAタイプ,3838,0,12,8
2026-09-14,Aホール,106,サンプル天井機,5984,734,25,16
2026-09-14,Aホール,107,サンプルAT機,3499,-286,14,9
2026-09-14,Aホール,108,サンプルAタイプ,3646,367,16,12
2026-09-14,Aホール,109,サンプル天井機,4189,-192,17,14
2026-09-14,Aホール,110,サンプルAT機,3899,3,16,11
2026-09-14,Aホール,111,サンプルAタイプ,6299,1498,27,15
2026-09-14,Aホール,112,サンプル天井機,4527,-31,17,9
2026-09-14,Bホール,201,サンプルAT機,1593,270,5,3
2026-09-14,Bホール,202,サンプルAタイプ,7488,-1009,30,21
2026-09-14,Bホール,203,サンプル天井機,2478,813,9,6
2026-09-14,Bホール,204,サンプルAT機,5212,241,16,10
2026-09-14,Bホール,205,サンプルAタイプ,4507,-1036,16,13
2026-09-14,Bホール,206,サンプル天井機,7621,-344,31,27
2026-09-14,Bホール,207,サンプルAT機,3792,-2058,12,9
2026-09-14,Bホール,208,サンプルAタイプ,4870,-1039,15,12
2026-09-14,Bホール,209,サンプル天井機,2957,-387,10,8
2026-09-14,Bホール,210,サンプルAT機,7195,268,24,20
2026-09-14,Bホール,211,サンプルAタイプ,5967,-636,21,12
2026-09-14,Bホール,212,サンプル天井機,4664,-1689,17,12
2026-09-15,Aホール,101,サンプルAT機,5067,-1174,19,14
2026-09-15,Aホール,102,サンプルAタイプ,4292,172,13,11
2026-09-15,Aホール,103,サンプル天井機,6938,186,27,22
2026-09-15,Aホール,104,サンプルAT機,2802,-1121,11,10
2026-09-15,Aホール,105,サンプルAタイプ,7800,406,26,22
2026-09-15,Aホール,106,サンプル天井機,4310,624,15,9
2026-09-15,Aホール,107,サンプルAT機,1656,226,5,3
2026-09-15,Aホール,108,サンプルAタイプ,5547,-1210,22,12
2026-09-15,Aホール,109,サンプル天井機,2521,368,9,7
2026-09-15,Aホール,110,サンプルAT機,2886,-954,10,5
2026-09-15,Aホール,111,サンプルAタイプ,3976,462,14,10
2026-09-15,Aホール,112,サンプル天井機,2914,-1194,12,7
2026-09-15,Bホール,201,サンプルAT機,2564,-823,10,7
2026-09-15,Bホール,202,サンプルAタイプ,4021,-888,14,13
2026-09-15,Bホール,203,サンプル天井機,3892,-382,13,8
2026-09-15,Bホール,204,サンプルAT機,7619,-1607,24,21
2026-09-15,Bホール,205,サンプルAタイプ,5577,-1158,22,16
2026-09-15,Bホール,206,サンプル天井機,3818,-172,15,9
2026-09-15,Bホール,207,サンプルAT機,7090,-1248,23,15
2026-09-15,Bホール,208,サンプルAタイプ,3232,671,13,10
2026-09-15,Bホール,209,サンプル天井機,7409,-965,27,14
2026-09-15,Bホール,210,サンプルAT機,3384,-484,14,11
2026-09-15,Bホール,211,サンプルAタイプ,5625,-271,17,13
2026-09-15,Bホール,212,サンプル天井機,5530,-518,22,11
2026-09-16,Aホール,101,サンプルAT機,5426,-1501,17,11
2026-09-16,Aホール,102,サンプルAタイプ,7951,12,26,22
2026-09-16,Aホール,103,サンプル天井機,5391,-1192,20,14
2026-09-16,Aホール,104,サンプルAT機,5302,-729,22,19
2026-09-16,Aホール,105,サンプルAタイプ,2218,1163,9,7
2026-09-16,Aホール,106,サンプル天井機,4769,-1423,15,13
2026-09-16,Aホール,107,サンプルAT機,7086,-1598,30,23
2026-09-16,Aホール,108,サンプルAタイプ,2001,-742,6,3
2026-09-16,Aホール,109,サンプル天井機,7098,-56,25,18
2026-09-16,Aホール,110,サンプルAT機,6156,-2193,25,16
2026-09-16,Aホール,111,サンプルAタイプ,2689,-589,9,6
2026-09-16,Aホール,112,サンプル天井機,2111,-455,7,6
2026-09-16,Bホール,201,サンプルAT機,2698,-387,12,7
2026-09-16,Bホール,202,サンプルAタイプ,7422,-1086,25,19
2026-09-16,Bホール,203,サンプル天井機,3678,-59,12,10
2026-09-16,Bホール,204,サンプルAT機,6902,1081,28,15
2026-09-16,Bホール,205,サンプルAタイプ,5797,-560,24,19
2026-09-16,Bホール,206,サンプル天井機,7667,-1945,31,19
2026-09-16,Bホール,207,サンプルAT機,4673,-1400,14,7
2026-09-16,Bホール,208,サンプルAタイプ,3327,38,12,10
2026-09-16,Bホール,209,サンプル天井機,7205,-900,31,20
2026-09-16,Bホール,210,サンプルAT機,4688,-1844,19,10
2026-09-16,Bホール,211,サンプルAタイプ,7787,1177,27,19
2026-09-16,Bホール,212,サンプル天井機,3617,-137,14,7
2026-09-17,Aホール,101,サンプルAT機,2618,215,9,7
2026-09-17,Aホール,102,サンプルAタイプ,7444,2114,28,15
2026-09-17,Aホール,103,サンプル天井機,4105,1117,16,9
2026-09-17,Aホール,104,サンプルAT機,4146,667,18,14
2026-09-17,Aホール,105,サンプルAタイプ,5472,84,18,12
2026-09-17,Aホール,106,サンプル天井機,1848,2403,6,5
2026-09-17,Aホール,107,サンプルAT機,1956,-772,7,4
2026-09-17,Aホール,108,サンプルAタイプ,6556,1747,21,19
2026-09-17,Aホール,109,サンプル天井機,5365,980,22,19
2026-09-17,Aホール,110,サンプルAT機,4491,-1499,14,10
2026-09-17,Aホール,111,サンプルAタイプ,5780,-1432,23,18
2026-09-17,Aホール,112,サンプル天井機,4570,-1027,17,12
2026-09-17,Bホール,201,サンプルAT機,7677,-495,24,15
2026-09-17,Bホール,202,サンプルAタイプ,5427,-1049,22,15
2026-09-17,Bホール,203,サンプル天井機,3504,-979,13,8
2026-09-17,Bホール,204,サンプルAT機,1577,146,6,5
2026-09-17,Bホール,205,サンプルAタイプ,2496,2451,8,6
2026-09-17,Bホール,206,サンプル天井機,6012,-1703,22,12
2026-09-17,Bホール,207,サンプルAT機,6835,-447,27,20
2026-09-17,Bホール,208,サンプルAタイプ,7337,2985,24,13
2026-09-17,Bホール,209,サンプル天井機,5051,-1197,16,13
2026-09-17,Bホール,210,サンプルAT機,5974,-649,20,15
2026-09-17,Bホール,211,サンプルAタイプ,2193,481,8,5
2026-09-17,Bホール,212,サンプル天井機,3535,-602,12,7
2026-09-18,Aホール,101,サンプルAT機,1702,-1096,5,3
2026-09-18,Aホール,102,サンプルAタイプ,7189,-510,23,18
2026-09-18,Aホール,103,サンプル天井機,6050,-1056,21,17
2026-09-18,Aホール,104,サンプルAT機,1715,304,6,5
2026-09-18,Aホール,105,サンプルAタイプ,6270,135,19,15
2026-09-18,Aホール,106,サンプル天井機,7790,-898,26,17
2026-09-18,Aホール,107,サンプルAT機,3839,-514,16,9
2026-09-18,Aホール,108,サンプルAタイプ,3815,-595,14,12
2026-09-18,Aホール,109,サンプル天井機,7502,-1956,30,16
2026-09-18,Aホール,110,サンプルAT機,5537,-689,24,13
2026-09-18,Aホール,111,サンプルAタイプ,7613,-1596,32,28
2026-09-18,Aホール,112,サンプル天井機,6244,47,22,16
2026-09-18,Bホール,201,サンプルAT機,3984,-504,13,11
2026-09-18,Bホール,202,サンプルAタイプ,5968,160,22,16
2026-09-18,Bホール,203,サンプル天井機,3728,2566,13,7
2026-09-18,Bホール,204,サンプルAT機,5401,-89,20,13
2026-09-18,Bホール,205,サンプルAタイプ,7735,-778,31,19
2026-09-18,Bホール,206,サンプル天井機,4140,-1157,14,11
